# Disclaimer - You may not use this list without acceptance of the below:
#
# The following IP addresses have been detected performing TCP SYN to 206.82.85.196/30 to a non-listening service or daemon.
# No assertion is made, nor implied, that any of the below listed IP addresses are accurate, malicious, hostile, or engaged in nefarious acts.
# Use this list at your own risk.  By using this list in any capacity or capability you release all claims of damages and shall not hold or perceive any
# liability against the publisher for:  damage, unexpected events or results, decision, or reputation damage, even those resulting from wilful
# or intentional neglect.
#
# No claims made against this data shall be honored; no assertions have been made about the quality, accuracy, usability, actionability,
# reputation, merit, or hostility of the below findings.
#
# If you feel that an IP address is inaccurately listed below please contact me at any RFC822 6.3, RFC1123 5.2.7, or RFC2821 4.5.1
# address associated with this domain; the below findings are soley fed by TCP SYN which is trivial to forge/spoof; no SYN-ACK/ACK 
# validation has been performed on the below IPv4 addresses, however, the honeypot does SYN-ACK..
#
# This list may not be included in any 'for-sale' component and may not be included in pay-wall subscription-based services except
# for organizations that I have explicitly given permission to by E-Mail which has been GPG signed using Key ID 0x37085D70.
#
# Changelog:
#     Fri Jan 10 2014 - A significant bug in Honeypot generation accuracy was found on Fri Jan 10 15:02 CST, prior entries in this list should be discarded.
#     Fri Jan 24 2014 - Added cumulative honeypot hit count of an IP seen across all days.  This will take effect for existing IPs forward-going.
#     Tue Jan 28 2014 - Corrected issue with cumulative hit count incrementing properly if the IP previously had a cumulative value.
#     Tue Feb 18 2014 - Sigh, failed to correctly shard the Mongo collection the first time.  Dumped the collection and resharded, this list was purged on Feb 18 2014.
#     Tue Feb 27 2014 - This list is now 48 hours (172800 seconds) of rolling data.
#     Fri Jun 20 2014 - Oops, sorry about the lack of updates since Jun 16 2014, the collection expanded nearly ten fold in number of IPs due to additional feeds and I needed to update the query timeout values.
#     Sat Jun 21 2014 - Time for some necessary indexes -- db.findings.createIndex({ 'packetmail_honeypot' : 1 }, { 'background' : 1 }); db.findings.createIndex({ 'packetmail_honeypot.last_seen' : 1 }, { 'background' : 1 });
#     Mon Mar 23 2015 - Fixed typo in field definitions.
#
# This list was last updated on Fri Oct 30 02:00:02 2015
#
# IP; last_seen; context; cumulative history
72.223.97.222; 2015-10-28 09:02:24; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 21
72.45.241.134; 2015-10-28 09:24:16; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 41
179.156.64.13; 2015-10-28 09:26:23; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
203.196.165.218; 2015-10-28 09:28:02; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
58.206.126.24; 2015-10-28 09:28:19; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 315
112.185.200.229; 2015-10-28 09:31:44; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
98.115.128.22; 2015-10-28 09:40:07; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
201.197.134.82; 2015-10-28 09:42:43; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
42.48.224.66; 2015-10-28 09:58:48; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
222.186.61.10; 2015-10-28 10:05:59; Honeypot hits in 3600 hash-collection seconds: 68; Cumulative honeypot hits for IP over all days: 160624
95.22.182.40; 2015-10-28 10:22:54; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
93.124.228.138; 2015-10-28 10:26:41; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
177.33.174.148; 2015-10-28 10:30:23; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
119.207.75.10; 2015-10-28 10:38:38; Honeypot hits in 3600 hash-collection seconds: 29; Cumulative honeypot hits for IP over all days: 32265
220.132.196.184; 2015-10-28 10:39:34; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
137.116.163.91; 2015-10-28 10:41:36; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
108.182.25.125; 2015-10-28 10:42:08; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
64.125.239.151; 2015-10-28 10:46:10; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 9
46.236.122.201; 2015-10-28 10:49:17; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
186.47.215.246; 2015-10-28 10:51:05; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
81.2.47.226; 2015-10-28 10:58:53; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
50.117.69.105; 2015-10-28 11:04:37; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
186.67.216.191; 2015-10-28 11:08:45; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
88.235.158.31; 2015-10-28 11:08:54; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
178.157.193.52; 2015-10-28 11:11:09; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
89.248.171.139; 2015-10-28 11:11:25; Honeypot hits in 3600 hash-collection seconds: 15; Cumulative honeypot hits for IP over all days: 625
114.80.207.12; 2015-10-28 11:12:57; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 21
183.109.14.203; 2015-10-28 11:16:11; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
175.192.191.171; 2015-10-28 11:25:06; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
183.7.84.146; 2015-10-28 11:28:21; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
181.196.53.185; 2015-10-28 11:29:10; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
80.229.43.142; 2015-10-28 11:29:23; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
89.248.172.199; 2015-10-28 11:37:19; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 13
94.122.69.173; 2015-10-28 11:47:41; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
212.116.216.154; 2015-10-28 11:59:30; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
187.63.213.4; 2015-10-28 12:00:48; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
81.192.213.120; 2015-10-28 12:11:48; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 122
190.35.202.60; 2015-10-28 12:24:43; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
41.110.186.50; 2015-10-28 12:26:21; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
46.55.55.252; 2015-10-28 12:27:04; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
80.82.64.217; 2015-10-28 12:28:40; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 4742
202.126.93.18; 2015-10-28 12:33:00; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 121
122.224.52.86; 2015-10-28 12:35:36; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 18
5.8.66.110; 2015-10-28 12:40:16; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
69.64.33.3; 2015-10-28 12:40:44; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 15
64.125.239.40; 2015-10-28 12:45:43; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 30
222.186.42.175; 2015-10-28 12:46:07; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 238
122.226.95.120; 2015-10-28 12:49:12; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 166
200.125.234.178; 2015-10-28 12:55:39; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
119.195.168.75; 2015-10-28 12:56:19; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 5
106.68.33.119; 2015-10-28 13:00:14; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
49.244.102.165; 2015-10-28 13:01:27; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
203.76.184.1; 2015-10-28 13:05:46; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
172.245.129.35; 2015-10-28 13:10:02; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
193.105.134.220; 2015-10-28 13:21:03; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 2724
91.196.50.33; 2015-10-28 13:21:10; Honeypot hits in 3600 hash-collection seconds: 8; Cumulative honeypot hits for IP over all days: 1349
188.17.134.213; 2015-10-28 13:33:20; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
78.186.142.219; 2015-10-28 13:50:42; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
64.125.239.41; 2015-10-28 13:51:02; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 54
89.248.162.130; 2015-10-28 13:53:28; Honeypot hits in 3600 hash-collection seconds: 13; Cumulative honeypot hits for IP over all days: 3639
83.110.218.169; 2015-10-28 14:00:20; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
179.42.220.165; 2015-10-28 14:03:38; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
86.110.228.118; 2015-10-28 14:07:38; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
175.31.4.105; 2015-10-28 14:11:15; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
110.164.219.130; 2015-10-28 14:14:03; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 22
180.97.215.122; 2015-10-28 14:30:05; Honeypot hits in 3600 hash-collection seconds: 7; Cumulative honeypot hits for IP over all days: 83
192.3.13.67; 2015-10-28 14:35:18; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 15
177.124.133.193; 2015-10-28 14:52:48; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
104.192.0.20; 2015-10-28 14:59:20; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 1714
188.116.155.89; 2015-10-28 15:00:52; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
112.165.236.175; 2015-10-28 15:01:33; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
195.76.59.115; 2015-10-28 15:23:09; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
46.63.72.57; 2015-10-28 15:24:05; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
84.95.198.132; 2015-10-28 15:50:33; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
198.23.220.254; 2015-10-28 16:06:26; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
141.212.122.125; 2015-10-28 16:18:41; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 39
46.61.18.145; 2015-10-28 16:22:22; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
195.154.50.7; 2015-10-28 16:28:15; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 21
191.178.163.198; 2015-10-28 16:31:47; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
37.110.120.162; 2015-10-28 16:33:29; Honeypot hits in 3600 hash-collection seconds: 10; Cumulative honeypot hits for IP over all days: 133
64.125.239.146; 2015-10-28 16:35:53; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 24
188.120.234.187; 2015-10-28 16:41:30; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
64.183.28.122; 2015-10-28 16:43:49; Honeypot hits in 3600 hash-collection seconds: 6; Cumulative honeypot hits for IP over all days: 60
95.189.97.238; 2015-10-28 16:44:40; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
64.125.239.147; 2015-10-28 16:49:16; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 28
62.90.169.167; 2015-10-28 16:55:03; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
141.212.121.192; 2015-10-28 16:58:19; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 41
141.212.121.197; 2015-10-28 16:58:19; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 4
141.212.121.198; 2015-10-28 16:58:19; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 9
112.184.243.252; 2015-10-28 16:59:33; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
71.59.36.3; 2015-10-28 17:01:00; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
166.176.56.16; 2015-10-28 17:12:43; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 90
190.234.215.166; 2015-10-28 17:13:37; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
94.102.49.54; 2015-10-28 17:26:27; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 355
116.113.122.8; 2015-10-28 17:30:59; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
95.13.177.239; 2015-10-28 17:31:52; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
212.7.209.6; 2015-10-28 17:41:56; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 11919
186.227.76.125; 2015-10-28 17:42:44; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
58.187.175.122; 2015-10-28 17:51:12; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
178.119.211.139; 2015-10-28 17:52:29; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
5.56.133.77; 2015-10-28 17:56:49; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 18
122.232.73.173; 2015-10-28 18:01:56; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
37.187.114.171; 2015-10-28 18:04:48; Honeypot hits in 3600 hash-collection seconds: 7; Cumulative honeypot hits for IP over all days: 117
87.236.215.150; 2015-10-28 18:12:54; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 18
103.243.55.137; 2015-10-28 18:13:26; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 18
211.110.140.93; 2015-10-28 18:21:34; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 19
186.222.140.220; 2015-10-28 18:22:44; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
181.135.187.14; 2015-10-28 18:25:31; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
115.84.96.141; 2015-10-28 18:31:13; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
187.17.169.227; 2015-10-28 18:37:37; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 7153
185.49.14.190; 2015-10-28 18:40:18; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 804
64.120.6.202; 2015-10-28 18:41:16; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 88
137.116.71.170; 2015-10-28 18:41:59; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 10
94.102.49.175; 2015-10-28 18:56:21; Honeypot hits in 3600 hash-collection seconds: 15; Cumulative honeypot hits for IP over all days: 268
91.121.223.36; 2015-10-28 19:03:51; Honeypot hits in 3600 hash-collection seconds: 5; Cumulative honeypot hits for IP over all days: 919
195.140.168.158; 2015-10-28 19:04:29; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
177.130.191.70; 2015-10-28 19:12:57; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 18
122.102.45.251; 2015-10-28 19:15:57; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
217.219.67.177; 2015-10-28 19:28:08; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
189.253.129.24; 2015-10-28 19:35:47; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
187.189.105.108; 2015-10-28 19:36:49; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 13
89.19.120.238; 2015-10-28 19:45:04; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
186.236.62.80; 2015-10-28 19:46:53; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 21
93.174.95.77; 2015-10-28 19:59:37; Honeypot hits in 3600 hash-collection seconds: 17; Cumulative honeypot hits for IP over all days: 2475
185.56.82.18; 2015-10-28 20:01:50; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 15
185.56.82.14; 2015-10-28 20:06:18; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 15
74.125.40.52; 2015-10-28 20:07:53; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 10
162.210.162.253; 2015-10-28 20:20:24; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
61.160.211.204; 2015-10-28 20:29:16; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
88.252.77.240; 2015-10-28 20:37:45; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
183.233.238.106; 2015-10-28 20:38:37; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
123.27.31.9; 2015-10-28 20:38:48; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
155.94.193.143; 2015-10-28 20:42:08; Honeypot hits in 3600 hash-collection seconds: 7; Cumulative honeypot hits for IP over all days: 94
71.206.244.78; 2015-10-28 20:45:43; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
37.247.108.82; 2015-10-28 20:53:18; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 10
184.105.247.236; 2015-10-28 20:57:44; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 89
190.245.60.102; 2015-10-28 21:01:22; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
37.106.98.71; 2015-10-28 21:03:52; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
64.125.239.37; 2015-10-28 21:07:23; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 25
93.115.84.125; 2015-10-28 21:13:14; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 6
31.168.123.238; 2015-10-28 21:14:08; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
158.69.202.64; 2015-10-28 21:15:13; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 21
218.200.188.213; 2015-10-28 21:23:03; Honeypot hits in 3600 hash-collection seconds: 3; Cumulative honeypot hits for IP over all days: 796
86.123.189.97; 2015-10-28 21:24:24; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
176.51.24.255; 2015-10-28 21:27:06; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 3
180.250.125.139; 2015-10-28 21:33:52; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 131
221.141.2.48; 2015-10-28 21:34:02; Honeypot hits in 3600 hash-collection seconds: 19; Cumulative honeypot hits for IP over all days: 17160
222.186.30.215; 2015-10-28 21:34:53; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 66
113.59.4.240; 2015-10-28 21:39:27; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
80.28.98.113; 2015-10-28 21:42:34; Honeypot hits in 3600 hash-collection seconds: 2; Cumulative honeypot hits for IP over all days: 4
173.193.58.179; 2015-10-28 21:44:02; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
191.183.235.190; 2015-10-28 21:44:40; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
122.58.138.29; 2015-10-28 21:46:43; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
180.250.115.75; 2015-10-28 21:47:06; Honeypot hits in 3600 hash-collection seconds: 9; Cumulative honeypot hits for IP over all days: 111
5.8.66.210; 2015-10-28 21:56:18; Honeypot hits in 3600 hash-collection seconds: 1; Cumulative honeypot hits for IP over all days: 7
